Learning Size|Error Rate %|Average Cost|Testing Size|Gradient Descent|Batches Size|Repeat|Squishing Func|Date
60000        |0.0218      |0.0367426155|10000       |Constant0.25    |1           |0     |Sigmoid       |2018-05-04 15:37
60000        |0.0217      |0.0370581897|10000       |Constant0.05    |1           |0     |Sigmoid       |2018-05-04 15:29
60000        |0.0217      |0.0370239941|10000       |Constant0.1     |1           |0     |Sigmoid       |2018-05-04 15:14
60000        |0.0213      |0.0369410790|10000       |Constant0.25    |1           |0     |Sigmoid       |2018-05-04 15:06
60000        |0.0218      |0.0369030072|10000       |Constant0.25    |1           |0     |Sigmoid       |2018-05-04 14:58
60000        |0.0224      |0.0371447951|10000       |Constant0.5     |1           |0     |Sigmoid       |2018-05-04 14:50
60000        |0.023       |0.0384035494|10000       |Constant0.5     |1           |0     |Sigmoid       |2018-05-04 09:47
60000        |0.0243      |0.0401262725|10000       |Constant0.5     |1           |0     |Sigmoid       |2018-05-04 09:38
60000        |0.0317      |0.0518446710|10000       |Constant3       |1           |0     |Sigmoid       |2018-05-04 09:27
60000        |0.0297      |0.0517965428|10000       |Constant3       |1           |0     |Sigmoid       |2018-05-04 09:19
60000        |0.0398      |0.0635498839|10000       |Constant3       |1           |0     |Sigmoid       |2018-05-04 09:10
60000        |0.0456      |0.0733561757|10000       |Constant3       |1           |0     |Sigmoid       |2018-05-03 21:35
60000        |0.0526      |0.0841835725|10000       |Constant3       |1           |0     |Sigmoid       |2018-05-03 21:28
60000        |0.0635      |0.1010593760|10000       |Constant2       |1           |0     |Sigmoid       |2018-05-03 21:18
30000        |0.0742      |0.1165333465|10000       |Constant0.5     |1           |0     |Sigmoid       |2018-05-03 21:09
60000        |0.0813      |0.1270112127|10000       |Constant0.5     |1000        |5     |Sigmoid       |2018-05-03 20:56
60000        |0.0813      |0.1274973979|10000       |Constant1.5     |100         |0     |Sigmoid       |2018-04-29 13:21
60000        |0.0834      |0.1308365745|10000       |Constant1.5     |100         |5     |Sigmoid       |2018-04-29 01:28
10000        |0.108       |0.3302426759|10000       |Constant0.2     |1000        |0     |Sigmoid       |2018-04-28 18:09
5            |0.8991      |1.0027559044|10000       |Constant4       |1           |0     |Sigmoid       |2018-04-26 20:29
