Learning Size|Error Rate %|Average Cost|Testing Size|Gradient Descent|Batches Size|Repeat|Squishing Func|Date
60000        |0.0414      |0.0658912398|10000       |Constant0.05    |10          |3     |Sigmoid       |2018-05-09 17:56
60000        |0.0409      |0.0659505713|10000       |Constant0.05    |10          |3     |Sigmoid       |2018-05-09 17:34
60000        |0.0417      |0.0666691190|10000       |Constant0.075   |100         |0     |Sigmoid       |2018-05-09 17:11
60000        |0.0418      |0.0668166597|10000       |Constant0.1     |1000        |0     |Sigmoid       |2018-05-09 17:05
60000        |0.0419      |0.0668385303|10000       |Constant0.2     |1           |0     |Sigmoid       |2018-05-09 16:35
60000        |0.0429      |0.0687540619|10000       |Constant0.35    |1           |0     |Sigmoid       |2018-05-09 16:25
60000        |0.0464      |0.0747322422|10000       |Constant0.75    |1           |0     |Sigmoid       |2018-05-07 19:10
60000        |0.0614      |0.1004231047|10000       |Constant3       |1           |0     |Sigmoid       |2018-05-07 18:59
60000        |0.1485      |0.2602923083|10000       |Constant5       |1           |0     |Sigmoid       |2018-05-07 18:49
60000        |0.0641      |0.1029238151|10000       |Constant0.5     |1           |0     |Sigmoid       |2018-05-06 00:34
60000        |0.0692      |0.1069512116|10000       |Constant1       |100         |0     |Sigmoid       |2018-04-30 23:48
50000        |0.07        |0.1080698962|10000       |Constant1       |100         |0     |Sigmoid       |2018-04-29 21:36
50000        |0.0962      |0.1549622449|10000       |Constant5       |10          |0     |Sigmoid       |2018-04-29 21:24
50000        |0.1027      |0.1621032673|10000       |Constant5       |10          |0     |Sigmoid       |2018-04-29 21:08
25000        |0.1321      |0.2055311707|10000       |Constant5       |10          |0     |Sigmoid       |2018-04-29 20:53
25000        |0.1429      |0.2299604323|10000       |Constant5       |10          |0     |Sigmoid       |2018-04-29 20:42
25000        |0.2658      |0.3782041721|10000       |Constant5       |10          |0     |Sigmoid       |2018-04-29 20:35
25000        |0.3849      |0.5135587576|10000       |Constant5       |1           |0     |Sigmoid       |2018-04-29 20:19
