Fri Apr 27 15:01:33 2018    profile/dataProfile

         670095 function calls (667366 primitive calls) in 132.391 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    141/1    0.004    0.000  132.391  132.391 {built-in method builtins.exec}
        1    0.000    0.000  132.391  132.391 main.py:18(<module>)
        1    0.001    0.001  132.263  132.263 main.py:28(main)
        1    0.205    0.205  131.979  131.979 neuralNetwork.py:95(train)
      150    0.006    0.000  131.662    0.878 neuralNetwork.py:188(calculateNegGradient)
      600  131.446    0.219  131.531    0.219 neuralNetwork.py:154(derivativeCostToParam)
        2    0.137    0.068    0.225    0.112 mnistHandwriting.py:16(MNISTexample)
     3000    0.183    0.000    0.183    0.000 {built-in method numpy.core.multiarray.zeros}
        5    0.000    0.000    0.153    0.031 __init__.py:1(<module>)
    166/6    0.001    0.000    0.131    0.022 <frozen importlib._bootstrap>:965(_find_and_load)
    166/6    0.001    0.000    0.131    0.022 <frozen importlib._bootstrap>:938(_find_and_load_unlocked)
    156/7    0.001    0.000    0.129    0.018 <frozen importlib._bootstrap>:659(_load_unlocked)
    132/6    0.000    0.000    0.128    0.021 <frozen importlib._bootstrap_external>:691(exec_module)
    223/8    0.000    0.000    0.112    0.014 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
      150    0.006    0.000    0.107    0.001 neuralNetwork.py:264(generateAllLayers)
     1000    0.104    0.000    0.104    0.000 {method 'dot' of 'numpy.ndarray' objects}
      150    0.003    0.000    0.101    0.001 neuralNetwork.py:79(initializeEmptyDParamArrays)
   320/11    0.001    0.000    0.101    0.009 {built-in method builtins.__import__}
   795/51    0.001    0.000    0.100    0.002 <frozen importlib._bootstrap>:995(_handle_fromlist)
        1    0.000    0.000    0.099    0.099 __init__.py:106(<module>)
        1    0.000    0.000    0.084    0.084 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.069    0.069 type_check.py:3(<module>)
      132    0.001    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:761(get_code)
        1    0.000    0.000    0.034    0.034 __init__.py:7(<module>)
   196354    0.033    0.000    0.033    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.001    0.001    0.029    0.029 neuralNetwork.py:361(test)
   196302    0.028    0.000    0.028    0.000 {built-in method _struct.unpack}
        1    0.000    0.000    0.028    0.028 neuralNetwork.py:23(__init__)
        1    0.000    0.000    0.028    0.028 neuralNetwork.py:59(initializeWeightsBiases)
      100    0.002    0.000    0.023    0.000 neuralNetwork.py:235(generateOuputLayer)
      162    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap>:879(_find_spec)
